term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2016,39162,MA 0231,B,3,Discrete Mathematics,"[{'days': 'MWR', 'times': '0200pm-0250pm', 'dates': '01/19-05/03', 'location': 'BNW 127'}]",['MWR 0200pm-0250pm 01/19-05/03 BNW 127'],Irene T.  Mulvey,20,20,0
Spring2016,37038,MA 0235,A,3,Linear Algebra,"[{'days': 'TWF', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'BNW 341'}]",['TWF 1100am-1150am 01/19-05/03 BNW 341'],Janet   Striuli,20,11,9
Spring2016,37039,MA 0235,B,3,Linear Algebra,"[{'days': 'TF', 'times': '0930am-1020am', 'dates': '01/19-05/03', 'location': 'BNW 333'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '01/19-05/03', 'location': 'BNW 333'}]","['TF 0930am-1020am 01/19-05/03 BNW 333', 'W 0900am-0950am 01/19-05/03 BNW 333']",Christopher   Staecker,20,18,2
Spring2016,38942,MA 0251,A,3,Ordinary Differential Equations,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/19-05/03', 'location': 'BNW 341'}]",['MW 0500pm-0615pm 01/19-05/03 BNW 341'],Daniel   Dlugos,25,20,5
Spring2016,38943,MA 0251,B,3,Ordinary Differential Equations,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'BNW 334'}]",['MR 1100am-1215pm 01/19-05/03 BNW 334'],Benjamin   Fine,25,28,-3
Spring2016,37736,MA 0300,A,3,Topics in Discrete Mathematics,"[{'days': 'TF', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'BNW 341'}, {'days': 'W', 'times': '0100pm-0150pm', 'dates': '01/19-05/03', 'location': 'BNW 341'}]","['TF 1230pm-0120pm 01/19-05/03 BNW 341', 'W 0100pm-0150pm 01/19-05/03 BNW 341']",Janet   Striuli,20,15,5
Spring2016,37234,MA 0332,A,3,Partial Differential Equations,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '01/19-05/03', 'location': 'BNW 127'}]",['MR 0800am-0915am 01/19-05/03 BNW 127'],Benjamin   Fine,20,14,6
Spring2016,38944,MA 0337,A,3,Number Theory,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/19-05/03', 'location': 'BNW 124'}]",['MW 0500pm-0615pm 01/19-05/03 BNW 124'],Paul   Baginski,20,18,2
Spring2016,37501,MA 0342,A,3,Theory of Computation,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'BNW 253'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/19-05/03', 'location': 'BNW 253'}]","['MR 1100am-1150am 01/19-05/03 BNW 253', 'W 1000am-1050am 01/19-05/03 BNW 253']",Christopher R.  Bernhardt,20,19,1
Spring2016,37040,MA 0352,A,3,Mathematical Statistics,"[{'days': 'MR', 'times': '0930am-1020am', 'dates': '01/19-05/03', 'location': 'BNW GR22'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '01/19-05/03', 'location': 'BNW GR22'}]","['MR 0930am-1020am 01/19-05/03 BNW GR22', 'W 0900am-0950am 01/19-05/03 BNW GR22']",Benjamin   Fine,20,19,1
Spring2016,37388,MA 0354,A,1,Actuarial Problem Solving,"[{'days': 'W', 'times': '1200pm-1250pm', 'dates': '01/19-05/03', 'location': 'BNW 137'}]",['W 1200pm-1250pm 01/19-05/03 BNW 137'],Stephen F.  Sawin,20,7,13
Spring2016,38945,MA 0361,A,3,Topics in Algebra,"[{'days': 'TWF', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'BNW 138'}]",['TWF 1100am-1150am 01/19-05/03 BNW 138'],Joseph B.  Dennin,20,7,13
Spring2016,37041,MA 0391,A,3,Honors Seminar II,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'BNW 124'}]",['TF 0200pm-0315pm 01/19-05/03 BNW 124'],Christopher   Staecker,0,4,-4
Spring2016,39147,MA 0399,SS,3,Independent Study,[],[],Stephen F.  Sawin,0,1,-1
Spring2016,38946,MA 0435,1,3,Algebra & Linear Algebra I,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/13', 'location': 'BNW 334'}]",['R 0630pm-0900pm 01/19-05/13 BNW 334'],Janet   Striuli,15,5,10
Spring2016,38264,MA 0451,1,3,Probability and Statistics I,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/13', 'location': 'BNW 341'}]",['M 0630pm-0900pm 01/19-05/13 BNW 341'],Shurong   Fang,15,7,8
Spring2016,38947,MA 0472,1,3,Real & Complex Analysis II,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/19-05/13', 'location': 'SON 124'}]",['W 0630pm-0900pm 01/19-05/13 SON 124'],Benjamin   Fine,15,4,11
Spring2016,38100,MA 0532,1,3,Applied Mathematics II,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/19-05/13', 'location': 'BNW 335'}]",['T 0630pm-0900pm 01/19-05/13 BNW 335'],Matthew P.  Coleman,15,8,7
Spring2016,38948,MA 0537,1,3,Number Theory,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/19-05/03', 'location': 'BNW 124'}]",['MW 0500pm-0615pm 01/19-05/03 BNW 124'],Paul   Baginski,10,2,8
Spring2016,39248,MA 0590,BF,0,Capstone Project,[],[],Benjamin   Fine,0,1,-1
Spring2016,39243,MA 0599,BF,3,Independent Study,[],[],Benjamin   Fine,0,1,-1
Spring2016,39251,MA 0599,MC,3,Independent Study,[],[],Matthew P.  Coleman,0,1,-1
Spring2016,37140,ME 0203,A,3,Kinematics and Dynamics,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/21-05/03', 'location': 'BNW 131'}]",['MR 0200pm-0315pm 01/21-05/03 BNW 131'],Michael P.  Zabinski,19,16,3
Spring2016,38014,ME 0203,B,3,Kinematics and Dynamics,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/21-05/03', 'location': 'BNW 131'}]",['MR 0330pm-0445pm 01/21-05/03 BNW 131'],Michael P.  Zabinski,20,11,9
Spring2016,37550,ME 0307L,A,1,Dynamics Systems Lab,"[{'days': 'W', 'times': '0230pm-0430pm', 'dates': '01/20-05/03', 'location': 'BNW 128'}]",['W 0230pm-0430pm 01/20-05/03 BNW 128'],Robert M.  Wojna,12,13,-1
Spring2016,38923,ME 0307L,B,1,Dynamics Systems Lab,"[{'days': 'W', 'times': '0630pm-0830pm', 'dates': '01/19-05/03', 'location': 'BNW 128'}]",['W 0630pm-0830pm 01/19-05/03 BNW 128'],Kosovka   Cupic,12,14,-2
Spring2016,38015,ME 0308,A,3,Strength of Materials,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/21-05/03', 'location': 'SON 214'}]",['R 0630pm-0900pm 01/21-05/03 SON 214'],Joseph P.  McFadden,15,18,-3
Spring2016,38924,ME 0308,B,3,Strength of Materials,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'BNW 131'}]",['MR 1100am-1215pm 01/19-05/03 BNW 131'],Michael P.  Zabinski,20,12,8
